graph,vertices,edges,loading,traversing,deleting
1,6160,40207,93.2797,1.0793,2.417
2,51795,63334,65.4843,4.2789,76.802
3,60541,74220,64.8755,4.9183,104.319
4,8114,26013,24.5877,1.0905,2.0507
5,200,819,1.5388,0.2304,0.0404
6,200,751,1.4514,0.2188,0.0381
7,8794,10130,19.5476,0.7858,0.4267
8,7537,72833,59.5077,0.9179,2.9823
9,38452,174645,152.327,2.413,8.6066
10,199,774,0.8257,0.1208,0.0207
11,9877,25973,23.1217,0.7868,1.0359
12,53444,68044,61.0513,4.6543,18.8399
13,45307,55440,46.0938,3.882,47.069
14,25123,31552,27.5736,2.2587,21.4711
15,53610,65952,57.1761,4.0187,84.6278
16,153,802,0.7972,0.1143,0.0186
17,23541,51747,51.7497,1.2585,1.761
18,49212,63601,54.5934,4.0864,69.0708
19,200,884,1.1114,0.3653,0.0261
20,57287,71155,62.2935,4.6021,55.6794
21,24765,30242,25.7194,2.4107,24.1362
22,12589,33129,34.7715,0.9773,1.1099
23,27717,133665,117.849,1.9257,6.077
24,7620,47293,38.8452,0.8984,1.8327
25,23194,28221,23.5127,1.8027,19.7817
26,6140,36767,30.2752,0.9028,1.3677
27,65866,81245,71.6187,5.0239,2.8408
28,54991,67000,59.1748,4.751,28.3692
29,13431,21999,21.3554,0.6231,0.6357
30,62853,79557,70.4918,4.8792,115.003
31,200,813,0.7686,0.1144,0.0186
32,1490,2680,2.3586,0.1579,0.0595
33,4410,6885,6.0586,0.2095,0.1707
34,1490,2680,2.507,0.1882,0.059
35,200,884,0.7895,0.1134,0.0212
36,26300,41500,38.5661,1.2145,2.1136
37,198,824,0.8174,0.3221,0.02
38,786,14024,10.5371,0.4573,0.5116
39,6795,10620,9.3602,0.4686,0.3361
40,210,625,0.6878,0.3833,0.022
41,200,1040,1.3913,0.3622,0.0285
42,200,974,1.1643,0.3275,0.0239
43,200,841,0.8779,0.3524,0.0257
44,200,1186,1.3006,0.3391,0.0362
45,200,1044,1.2151,0.3431,0.0259
46,200,812,0.8973,0.3441,0.0245
47,200,1120,1.2186,0.29,0.0326
48,200,1052,1.5379,3.0699,0.0569
49,200,957,1.4013,0.329,0.0235
50,200,1048,1.2135,0.317,0.0257
51,200,1135,1.1341,0.3539,0.0334
52,200,1019,1.0619,0.3391,0.03
53,200,1062,1.2162,0.3081,0.0253
54,200,985,1.0125,0.3439,0.028
55,200,958,1.082,1.167,0.0322
56,200,1117,1.4904,0.3433,0.0271
57,200,1200,1.2411,0.381,0.0347
58,200,1202,1.4411,0.3351,0.0341
59,200,988,1.1668,0.3304,0.0284
60,200,1147,1.2718,0.3087,0.0279
61,200,952,0.9747,0.3463,0.0284
62,199,1164,1.2409,0.3415,0.1009
63,200,1040,4.3153,0.6094,0.1091
64,200,1071,3.9913,0.6016,0.1144
65,200,1037,3.8802,0.7549,0.1462
66,200,884,3.4899,0.5921,0.0949
67,200,1201,4.955,4.1883,0.1299
68,200,983,3.886,0.5945,0.1052
69,200,1120,4.26,3.9983,0.1471
70,200,887,3.5546,0.596,0.0943
71,200,984,3.6765,0.5956,0.1027
72,200,1204,4.6754,0.9946,0.1343
73,200,1107,4.4164,0.6049,0.1173
74,200,820,3.26,0.6046,0.0893
75,26300,41500,103.996,1.3387,1.8735
76,26300,41500,38.5412,1.2206,1.8191
77,200,988,1.0064,0.1681,0.0237
78,11349,17739,16.6047,0.685,0.7057
79,26300,41500,38.7831,0.9077,2.0459
80,26300,41500,37.993,0.9007,1.8349
81,199,1124,1.0264,0.1242,0.0267
82,200,978,0.8455,0.1145,0.023
83,200,1215,1.0214,0.1154,0.0289
84,13590,21240,19.8718,0.9082,0.6528
85,11470,17408,16.2646,0.5405,0.6383
86,26300,41500,39.2607,1.1761,1.6085
87,13590,21240,19.9392,1.3853,0.6558
88,26300,41500,38.8596,1.0582,1.6222
89,57316,77978,72.7454,3.2302,3.9033
90,11349,17739,16.1309,0.5698,0.5876
91,200,1196,1.0979,0.3124,0.0372
92,450,17794,12.5418,0.9988,0.84
93,200,1207,1.3519,0.3581,0.029
94,5960,10720,9.8671,0.537,0.349
95,15783,24663,48.7064,1.959,3.6871
96,26300,41500,81.7022,1.0313,2.078
97,18096,28281,26.6154,0.833,1.0271
98,26300,41500,38.6707,1.1474,2.0644
99,26300,41500,38.5632,0.8726,2.0824
100,26300,41500,39.1492,1.6216,1.7192
101,26300,41500,39.7721,2.1076,1.7278
102,26300,41500,39.1857,2.8616,2.1376
103,15783,24663,24.2493,1.1885,1.2789
104,26300,41500,47.7562,1.0624,2.8118
105,26300,41500,39.7472,3.4525,2.1649
106,2980,5360,5.1104,0.3752,0.1348
107,13590,21240,20.2036,0.4949,1.0583
108,26300,41500,39.03,2.2293,2.0436
109,66992,90970,90.4263,4.2832,4.5805
110,98128,161357,151.789,3.4021,9.3863
111,450,17831,13.0486,0.2544,0.6946
112,18096,28281,26.407,0.9637,1.0244
113,26300,41500,38.5419,0.948,2.1202
114,15783,24663,23.3682,0.74,1.0499
115,18096,28281,27.765,1.0698,2.1733
116,26300,41500,44.2805,1.2126,3.5756
117,18096,28281,27.9331,0.8577,1.0834
118,26300,41500,38.1926,0.8375,2.1373
119,18096,28281,26.5455,0.6953,1.128
120,70144,116378,110.224,3.1689,6.5638
121,18096,28281,30.7092,1.5192,2.5139
122,26300,41500,91.5417,1.4142,4.0378
123,26300,41500,37.604,0.9151,4.0274
124,26300,41500,39.2746,1.111,4.8192
125,26300,41500,66.7292,2.0205,3.1582
126,18096,28281,38.7217,1.2996,0.9245
127,18096,28281,26.048,0.9073,1.1406
128,26300,41500,72.453,1.7456,1.9858
129,15783,24663,23.5034,0.9308,0.9106
130,26300,41500,60.0438,1.2962,2.2667
131,2980,5360,5.0221,0.4243,0.1304
132,15783,24663,23.6114,1.3447,0.9999
133,15783,24663,23.7222,1.609,0.8245
134,26300,41500,38.7487,3.215,1.8462
135,26300,41500,38.7944,2.7641,1.8278
136,18096,28281,26.7082,0.775,0.9388
137,26300,41500,38.503,1.0381,1.8171
138,18096,28281,27.1495,1.304,1.2038
139,18096,28281,27.2294,0.8117,1.8078
140,26300,41500,40.2869,2.9842,2.2818
141,18096,28281,26.1913,0.6669,1.1836
142,2980,5360,5.3598,0.4284,0.1701
143,18096,28281,27.5945,1.0127,1.3958
144,26300,41500,40.2022,1.0105,2.1663
145,18096,28281,27.4493,1.0483,2.639
146,26300,41500,38.4981,1.0184,2.289
147,18096,28281,25.8553,1.0569,1.1015
148,26300,41500,38.3325,1.0107,2.3209
149,26300,41500,38.825,0.9417,2.8599
150,26300,41500,39.3322,1.1415,2.2037
151,15783,24663,22.89,0.6005,1.0496
152,13590,21240,20.7476,0.5917,0.6455
153,29076,45570,73.5985,2.0039,3.3263
154,15783,24663,31.0059,0.9609,1.1738
155,26300,41500,43.4381,2.9162,1.8793
156,450,17809,12.9737,0.3778,0.6996
157,2980,5360,4.9841,0.4117,0.1295
158,15783,24663,22.651,0.7174,1.0238
159,18096,28281,26.61,1.2383,3.6965
160,18096,28281,26.1523,0.8576,0.958
161,138141,227241,215.84,5.1975,14.814
162,50635,83075,77.5262,1.6904,4.8458
163,18096,28281,30.3828,1.3344,1.046
164,29296,46040,43.2912,1.0245,2.8934
165,18096,28281,26.8229,1.2991,0.9139
166,3278,5896,6.4838,0.2917,0.1362
167,15783,24663,22.6737,0.5837,1.3562
168,2980,5360,4.7244,0.2192,0.1257
169,4768,8576,8.7447,0.5962,0.2118
170,15783,24663,23.6776,0.9336,0.9313
171,18096,28281,25.8735,0.9416,1.1435
172,4025,7435,7.1644,0.4043,0.1827
173,56860,77264,73.1021,3.1757,3.8644
174,2980,5360,4.7662,0.4138,0.1338
175,3523,6446,5.752,0.4361,0.1706
176,15783,24663,45.7503,1.4423,1.7615
177,5066,9112,19.9507,1.4278,1.0645
178,18096,28281,65.3414,1.3784,1.9327
179,15783,24663,33.9486,0.979,0.8909
180,15783,24663,32.7556,1.6073,3.7507
181,18096,28281,56.7115,1.2744,3.725
182,26300,41500,72.4999,1.0366,1.6673
183,72420,118362,112.229,2.2202,5.8041
184,6290,11560,10.4786,0.6821,0.3169
185,3523,6446,5.8164,0.394,0.1638
186,26300,41500,39.048,0.9158,1.9772
187,4227,7734,7.0649,0.2968,0.1902
188,6660,12240,11.0884,0.5646,0.3218
189,7400,13600,12.2175,0.6846,0.3699
190,3875,7090,6.4351,0.3861,0.1794
191,4579,8378,7.8734,0.3407,0.2045
192,2980,5360,4.7176,0.2225,0.1289
193,7030,12920,12.7037,0.4709,0.3553
194,1150,80851,59.0744,0.7786,4.7947
195,1150,81068,58.1069,0.566,4.3843
196,1534,126082,90.5392,0.6905,7.5751
197,1534,127011,91.8084,0.7319,7.5159
198,1150,80072,57.2964,0.5535,4.3266
199,1534,126163,90.4983,0.7153,7.4621
200,1150,80258,57.3155,0.5921,4.3684
