graph,loading,traversing,deleting
1,0.034145,0.0011024,0.0051072
2,0.0602649,0.0024029,0.397625
3,0.072491,0.0003689,0.731694
4,0.0233458,0.0013101,0.0035933
5,0.0007632,0.0005304,7.5e-05
6,0.0007657,0.0005893,7.54e-05
7,0.011247,0.0010136,0.0020947
8,0.0582368,0.0014885,0.011535
9,0.152583,0.0050185,0.039044
10,0.0009131,0.0005093,9.61e-05
11,0.0238557,0.0010783,0.0043997
12,0.0658,0.0003709,0.161636
13,0.0523955,0.0022483,0.241022
14,0.0323572,0.0012973,0.106121
15,0.0631182,0.0024666,0.435175
16,0.0009579,0.000494,8.07e-05
17,0.0541961,0.002374,0.0095188
18,0.058865,0.0021951,0.366286
19,0.0009959,0.0006986,0.0001195
20,0.0719071,0.0003889,0.435793
21,0.0304559,0.0015001,0.0842011
22,0.0331707,0.0016583,0.0049175
23,0.116659,0.0033661,0.0245307
24,0.038557,0.0011802,0.0059757
25,0.0297362,0.0014231,0.0924062
26,0.0308858,0.0010514,0.0051041
27,0.0786864,0.00046,0.0321373
28,0.0656156,0.000443,0.244604
29,0.0232162,0.0012696,0.0028694
30,0.0761474,0.0004301,0.677886
31,0.0009379,0.000571,8.38e-05
32,0.0027958,0.0004475,0.0002808
33,0.0065283,0.0007101,0.0008269
34,0.002308,0.0004425,0.0002432
35,0.0008713,0.0002533,7.17e-05
36,0.0385888,0.0019766,0.0085898
37,0.000793,0.0005014,7.49e-05
38,0.0118426,0.0005101,0.0015731
39,0.0105704,0.000946,0.0015622
40,0.0006436,0.0005034,6.26e-05
41,0.0011516,0.0004988,8.78e-05
42,0.0010859,0.0003747,8.2e-05
43,0.0008634,0.0003398,8.67e-05
44,0.0013901,0.000258,0.0001091
45,0.0013077,0.0003813,0.0001084
46,0.0009378,0.0002723,6.92e-05
47,0.0009708,0.0002512,8.78e-05
48,0.0008915,0.0002454,8.31e-05
49,0.0008209,0.0003302,7.69e-05
50,0.0009388,0.0002242,9.11e-05
51,0.0010462,0.000271,9.69e-05
52,0.0009015,0.000252,8.86e-05
53,0.001054,0.0002548,8.37e-05
54,0.0008745,0.0002693,8.74e-05
55,0.001024,0.0002505,7.67e-05
56,0.0009682,0.0003773,9.78e-05
57,0.0012535,0.0002408,9.99e-05
58,0.0010533,0.0002479,0.0001011
59,0.0008662,0.000244,8.55e-05
60,0.0009694,0.0002413,9.14e-05
61,0.0009032,0.0002531,8.06e-05
62,0.0010136,0.0002383,9.72e-05
63,0.000932,0.0002465,9.44e-05
64,0.0009331,0.000237,9.15e-05
65,0.0009138,0.0005013,0.0001629
66,0.0008101,0.000186,6.89e-05
67,0.0010541,0.0002328,9.42e-05
68,0.0009901,0.0002594,0.0001091
69,0.0010053,0.0001885,8.77e-05
70,0.0007643,0.0001869,7.92e-05
71,0.0008241,0.0001863,8.44e-05
72,0.0009865,0.000186,9.99e-05
73,0.0009106,0.0001869,9.4e-05
74,0.0007063,0.0001859,7.46e-05
75,0.0390831,0.001804,0.0094477
76,0.0402563,0.0021598,0.0089757
77,0.0009044,0.0005035,8.6e-05
78,0.0175843,0.0008061,0.0040121
79,0.0396017,0.0016695,0.0088329
80,0.0398136,0.0019921,0.0107379
81,0.0013094,0.0004397,0.0001119
82,0.0009355,0.0005056,8.93e-05
83,0.0013391,0.000402,0.0001135
84,0.0204319,0.0012568,0.0042751
85,0.0167306,0.000953,0.0045745
86,0.0388923,0.0017252,0.0106305
87,0.020232,0.0010624,0.0039619
88,0.0399383,0.0018488,0.0087663
89,0.0758076,0.0033009,0.0268725
90,0.0171664,0.0009131,0.0034054
91,0.0011115,0.0004891,9.04e-05
92,0.0139286,0.0006808,0.0021097
93,0.0010738,0.0004875,9.33e-05
94,0.0095191,0.0010464,0.0019547
95,0.0240586,0.0017669,0.0046676
96,0.0395124,0.0017495,0.0096569
97,0.0282213,0.0016717,0.0053848
98,0.0400063,0.0020851,0.0098938
99,0.0410945,0.0018222,0.0082669
100,0.0394816,0.0022508,0.0106775
101,0.0414189,0.0020992,0.0081499
102,0.0387495,0.0019643,0.010518
103,0.0243976,0.0015096,0.0046403
104,0.0393765,0.0018124,0.0103478
105,0.0400489,0.0017547,0.0091421
106,0.0053332,0.0006261,0.0007188
107,0.0211262,0.0014584,0.0038604
108,0.0392067,0.0021166,0.0092823
109,0.0879599,0.003921,0.0340846
110,0.153473,0.0004934,0.0566076
111,0.0136747,0.0006295,0.0028326
112,0.0273863,0.0012759,0.0063302
113,0.0391847,0.0021077,0.0139833
114,0.0233776,0.0015303,0.0048173
115,0.0276709,0.0014986,0.0053538
116,0.0388159,0.0017007,0.0087749
117,0.0280763,0.001485,0.0052291
118,0.0396457,0.0017086,0.0091848
119,0.0286579,0.0014987,0.0055202
120,0.11387,0.0070243,0.0375834
121,0.0276576,0.0018647,0.0075009
122,0.0390015,0.001909,0.0104532
123,0.0414368,0.0021494,0.0089499
124,0.0400767,0.0016969,0.0111824
125,0.0408362,0.0023176,0.0119429
126,0.0282355,0.0015353,0.0066267
127,0.0283018,0.0019368,0.0057127
128,0.0395213,0.0020162,0.0098641
129,0.0240237,0.001536,0.0049614
130,0.0388732,0.0018177,0.0131362
131,0.0050731,0.0006986,0.0005759
132,0.0248117,0.0013158,0.0048317
133,0.024021,0.0012547,0.0081405
134,0.0394329,0.001693,0.0100881
135,0.0402581,0.0020004,0.0105142
136,0.0275747,0.0016852,0.0065898
137,0.0410338,0.002261,0.0116534
138,0.0293571,0.0019211,0.0059053
139,0.0314402,0.0015542,0.0063941
140,0.0455039,0.0021782,0.0135476
141,0.0299592,0.0024884,0.0080558
142,0.0048288,0.0005665,0.0005576
143,0.0283967,0.0016543,0.0058016
144,0.0412531,0.0017507,0.0119834
145,0.0301906,0.0028221,0.0100648
146,0.0407279,0.0019062,0.0082804
147,0.0286447,0.0013966,0.005995
148,0.0422537,0.0021283,0.0131634
149,0.0425075,0.0020743,0.0122625
150,0.04112,0.0026831,0.0093005
151,0.025675,0.001394,0.0052855
152,0.0204395,0.0012378,0.0040682
153,0.0433525,0.0025902,0.0151678
154,0.0248841,0.001792,0.0069862
155,0.0418184,0.002115,0.0097204
156,0.0140469,0.0006869,0.0023499
157,0.0057272,0.000936,0.0008604
158,0.0245473,0.0023568,0.0048421
159,0.0272537,0.0018001,0.0066432
160,0.0274641,0.0015535,0.0076063
161,0.221494,0.0004016,0.091799
162,0.0809242,0.0003697,0.0250096
163,0.028293,0.0015829,0.0055181
164,0.0437086,0.0016425,0.0099827
165,0.0282938,0.0020301,0.0067306
166,0.005259,0.0008759,0.0008765
167,0.0234414,0.0010393,0.0046254
168,0.0045362,0.0004123,0.000526
169,0.0083092,0.0008913,0.0012864
170,0.0240044,0.0013269,0.0047567
171,0.0281769,0.0015178,0.0056384
172,0.006222,0.0007443,0.001661
173,0.0738647,0.0032487,0.024922
174,0.005216,0.0007659,0.0007843
175,0.0059518,0.0006144,0.0007656
176,0.0239083,0.0014553,0.0047664
177,0.0078961,0.0009565,0.0012861
178,0.027933,0.0020397,0.0062199
179,0.0232069,0.0015758,0.0049852
180,0.0237509,0.0022227,0.0042747
181,0.0282764,0.0018064,0.0056581
182,0.0388383,0.001927,0.014517
183,0.113395,0.006293,0.0367807
184,0.0106584,0.0006841,0.0013717
185,0.005954,0.0005407,0.0007855
186,0.0386637,0.0017743,0.0109366
187,0.0071131,0.0005544,0.0008993
188,0.0113483,0.0010808,0.0015912
189,0.0122923,0.0013705,0.0017281
190,0.0061867,0.0008811,0.0010707
191,0.0076005,0.0009092,0.0010575
192,0.0054636,0.0011844,0.0007233
193,0.0113097,0.0010049,0.0020341
194,0.0612954,0.0010895,0.0164473
195,0.0619328,0.0012525,0.0165124
196,0.0951419,0.0014792,0.0305059
197,0.096069,0.0014757,0.0306428
198,0.0599629,0.0009722,0.0150839
199,0.0974218,0.0017587,0.0289626
200,0.0598584,0.0010769,0.0158252
