length,deleting,Class
2,0.0002,Vector
2,0.0007,Set
4,0.0001,Vector
4,0.0002,Set
6,0.0001,Vector
6,0.0001,Set
8,0.0001,Vector
8,0.0001,Set
10,0.0001,Vector
10,0.0001,Set
12,0.0001,Vector
12,0.0001,Set
14,0.0001,Vector
14,0.0001,Set
16,0.0001,Vector
16,0.0001,Set
18,0.0001,Vector
18,0.0002,Set
20,0.0002,Vector
20,0.0001,Set
22,0.0002,Vector
22,0.0001,Set
24,0.0001,Vector
24,0.0002,Set
26,0.0001,Vector
26,0.0001,Set
28,0.0001,Vector
28,0.0001,Set
30,0.0001,Vector
30,0.0001,Set
32,0.0001,Vector
32,0.0001,Set
34,0.0002,Vector
34,0.0001,Set
36,0.0001,Vector
36,0.0001,Set
38,0.0002,Vector
38,0.0001,Set
40,0.0001,Vector
40,0.0001,Set
42,0.0001,Vector
42,0.0001,Set
44,0.0002,Vector
44,0.0001,Set
46,0.0002,Vector
46,0.0001,Set
48,0.0001,Vector
48,0.0001,Set
50,0.0001,Vector
50,0.0001,Set
52,0.0001,Vector
52,0.0001,Set
54,0.0001,Vector
54,0.0001,Set
56,0.0001,Vector
56,0.0001,Set
58,0.0001,Vector
58,0.0001,Set
60,0.0002,Vector
60,0.0001,Set
62,0.0001,Vector
62,0.0001,Set
64,0.0001,Vector
64,0.0001,Set
66,0.0001,Vector
66,0.0002,Set
68,0.0001,Vector
68,0.0001,Set
70,0.0001,Vector
70,0.0001,Set
72,0.0002,Vector
72,0.0001,Set
74,0.0002,Vector
74,0.0001,Set
76,0.0001,Vector
76,0.0001,Set
78,0.0002,Vector
78,0.0001,Set
80,0.0002,Vector
80,0.0001,Set
82,0.0002,Vector
82,0.0001,Set
84,0.0001,Vector
84,0.0001,Set
86,0.0002,Vector
86,0.0001,Set
88,0.0001,Vector
88,0.0001,Set
90,0.0001,Vector
90,0.0001,Set
92,0.0001,Vector
92,0.0001,Set
94,0.0001,Vector
94,0.0002,Set
96,0.0002,Vector
96,0.0001,Set
98,0.0002,Vector
98,0.0001,Set
100,0.0001,Vector
100,0.0001,Set
102,0.0001,Vector
102,0.0001,Set
104,0.0001,Vector
104,0.0001,Set
106,0.0001,Vector
106,0.0001,Set
108,0.0001,Vector
108,0.0001,Set
110,0.0001,Vector
110,0.0002,Set
112,0.0001,Vector
112,0.0001,Set
114,0.0001,Vector
114,0.0001,Set
116,0.0001,Vector
116,0.0001,Set
118,0.0001,Vector
118,0.0001,Set
120,0.0002,Vector
120,0.0001,Set
122,0.0002,Vector
122,0.0001,Set
124,0.0001,Vector
124,0.0001,Set
126,0.0002,Vector
126,0.0001,Set
128,0.0002,Vector
128,0.0001,Set
130,0.0002,Vector
130,0.0001,Set
132,0.0002,Vector
132,0.0001,Set
134,0.0001,Vector
134,0.0001,Set
136,0.0001,Vector
136,0.0001,Set
138,0.0002,Vector
138,0.0001,Set
140,0.0001,Vector
140,0.0001,Set
142,0.0001,Vector
142,0.0001,Set
144,0.0002,Vector
144,0.0001,Set
146,0.0001,Vector
146,0.0001,Set
148,0.0001,Vector
148,0.0002,Set
150,0.0001,Vector
150,0.0001,Set
152,0.0001,Vector
152,0.0001,Set
154,0.0001,Vector
154,0.0001,Set
156,0.0002,Vector
156,0.0001,Set
158,0.0001,Vector
158,0.0001,Set
160,0.0001,Vector
160,0.0001,Set
162,0.0001,Vector
162,0.0001,Set
164,0.0001,Vector
164,0.0001,Set
166,0.0001,Vector
166,0.0001,Set
168,0.0001,Vector
168,0.0001,Set
170,0.0001,Vector
170,0.0001,Set
172,0.0001,Vector
172,0.0001,Set
174,0.0001,Vector
174,0.0001,Set
176,0.0001,Vector
176,0.0001,Set
178,0.0002,Vector
178,0.0001,Set
180,0.0001,Vector
180,0.0001,Set
182,0.0001,Vector
182,0.0001,Set
184,0.0001,Vector
184,0.0001,Set
186,0.0002,Vector
186,0.0002,Set
188,0.0001,Vector
188,0.0001,Set
190,0.0001,Vector
190,0.0001,Set
192,0.0002,Vector
192,0.0002,Set
194,0.0002,Vector
194,0.0001,Set
196,0.0001,Vector
196,0.0001,Set
198,0.0002,Vector
198,0.0002,Set
200,0.0001,Vector
200,0.0001,Set
202,0.0001,Vector
202,0.0001,Set
204,0.0001,Vector
204,0.0001,Set
206,0.0001,Vector
206,0.0001,Set
208,0.0001,Vector
208,0.0001,Set
210,0.0002,Vector
210,0.0001,Set
212,0.0001,Vector
212,0.0001,Set
214,0.0002,Vector
214,0.0001,Set
216,0.0002,Vector
216,0.0001,Set
218,0.0002,Vector
218,0.0002,Set
220,0.0002,Vector
220,0.0001,Set
222,0.0002,Vector
222,0.0001,Set
224,0.0002,Vector
224,0.0002,Set
226,0.0001,Vector
226,0.0001,Set
228,0.0002,Vector
228,0.0001,Set
230,0.0002,Vector
230,0.0001,Set
232,0.0001,Vector
232,0.0001,Set
234,0.0002,Vector
234,0.0001,Set
236,0.0002,Vector
236,0.0001,Set
238,0.0001,Vector
238,0.0001,Set
240,0.0002,Vector
240,0.0001,Set
242,0.0002,Vector
242,0.0001,Set
244,0.0001,Vector
244,0.0001,Set
246,0.0002,Vector
246,0.0001,Set
248,0.0002,Vector
248,0.0001,Set
250,0.0002,Vector
250,0.0001,Set
252,0.0002,Vector
252,0.0001,Set
